,,,Breakfast at the Frat: A Time Series Analysis,,,,,,,,,,,
"The data contained in this file includes sales and promotional information from a sampling of stores over 156 weeks, beginning January 2009 through December 2011. These are the sales metrics of products in 4 categories: mouthwash, pretzels, frozen pizza, and boxed cereal, the top 5 products from each of the top 3 brands in each category. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VARIABLE NAME,TABLE,DESCRIPTION,,,,,,,,,,,,
ADDRESS_CITY_NAME,store lookup,city,,,,,,,,,,,,
ADDRESS_STATE_PROV_CODE,store lookup,state,,,,,,,,,,,,
AVG_WEEKLY_BASKETS,store lookup,average weekly baskets sold in the store,,,,,,,,,,,,
BASE_PRICE,data,base price of item,,,,,,,,,,,,
MANUFACTURER,products lookup,manufacturer,,,,,,,,,,,,
CATEGORY,products lookup,category of product,,,,,,,,,,,,
DESCRIPTION,products lookup,prodcut description,,,,,,,,,,,,
DISPLAY,data,product was a part of in-store promotional display,,,,,,,,,,,,
FEATURE,data,product was in in-store circular,,,,,,,,,,,,
HHS,data,# of purchasing households,,,,,,,,,,,,
MSA_CODE,store lookup,(Metropolitan Statistical Area) geographic region with a high core population density and close economic ties throughout the surrounding areas,,,,,,,,,,,,
PARKING_SPACE_QTY,store lookup,number of parking spaces in the store parking lot,,,,,,,,,,,,
PRICE,data,actual amount charged for the product at shelf,,,,,,,,,,,,
WEEK_END_DATE,data,week ending date,,,,,,,,,,,,
SALES_AREA_SIZE_NUM,store lookup,square footage of store,,,,,,,,,,,,
STORE_APPEAL,store lookup,Retailer's designated store appeal,,,,,,,,,,,,
SPEND,data,"total spend (i.e., $ sales)",,,,,,,,,,,,
STORE_NUM,"data, store lookup",store number,,,,,,,,,,,,
SUB_CATEGORY,products lookup,sub-category of product,,,,,,,,,,,,
TPR_ONLY,data,"temporary price reduction only (i.e., shelf tag only, product was reduced in price but not on display or in an advertisment)",,,,,,,,,,,,
UNITS,data,units sold,,,,,,,,,,,,
UPC,"data, products lookup",(Universal Product Code) product specific identifier,,,,,,,,,,,,
VISITS,data,number of unique purchases (baskets) that included the product,,,,,,,,,,,,
PRODUCT_SIZE,products lookup,package size or quantity of product,,,,,,,,,,,,
